832
YMR202W| 0.91 -1.44
YMR205C| -1.79 0.33
YMR242C| 0.87 0.24
YMR308C| 0.78 -1.14
YMR318C| 0.94 -1.06
YMR321C| 0.97 0.77
YNL065W| 0.6 -1.58
YNL087W| 0.64 0.24
YNL096C| 0.45 0.94
YNL111C| -1.73 1.2
YNL175C| 0.99 0.99
YNL235C| 1.17 0.68
YNL247W| -1.08 0.69
YNL301C| -1.8 0.57
YNL303W| 0.94 -1.56
YNR009W| -1.37 0.18
YNR051C| 0.88 -1.2
YNR053C| 0.82 0.03
YNR067C| 0.89 0.97
YOL010W| 1.22 0.81
YOL014W| -1.03 -1.03
YOL120C| 1.03 1.03
YOL061W| -1.39 0.9
YOL077C| -0.18 0.85
YOR063W| 0.78 0.35
YOR096W| 0.39 0.92
YOR153W| -1.42 0.86
YOR234C| 0.65 0.89
YOR277C| -0.01 -1.58
YOR293W| 0.78 0.29
YOR309C| 0.14 -1.87
YPL034W| -1.39 -1.58
YPL143W| 0.12 -1.36
YPL160W| 0.88 0.5
YPL198W| -1.73 1.05
YPL243W| 0.35 0.35
YPL245W| -1.4 0.39
YPL266W| 0.17 0.11
YPR033C| 0.11 0.99
YPR044C| -1.7 0.42
YPR074C| 0.75 0.78
YPR112C| -0.03 -0.03
YPR125W| 1 -1.91
YHR098C| -1.68 0.96
YAL012W| -0.1 -1.99
YAL038W| -0.9 0.73
YBL027W| 0.26 0.38
YBR106W| 0.47 0.68
YBR189W| 0.86 0.56
YBR191W| 0.54 -1.97
YDL075W| 0.41 -2.06
YDL083C| 0.64 -2.11
YDL136w| 0.74 0.35
YDL191W| 0.48 -1.21
YDL210W| 1.09 -0.71
YDR366C| 0.56 0.54
YDR417C| -1.05 -1.95
YDR418W| 0.7 0.37
YDR500C| 0.2 -1.05
YER074w| -2.05 -2.05
YER117w| 0.33 0.72
YER131w| 0.39 0.53
YFR031BC| -1.07 0.61
YGL030W| -1.94 -1.94
YGL076C| 0.14 0.14
YGL123W| 0.4 0.25
YGL135W| 0.56 -1.11
YGL147C| 0.77 0.77
YGR118W| 0.67 0.7
YGR148C| 0.84 0.36
YGR285C| 0.82 0.82
YHL001W| -1.25 0.7
YHL015W| 0.69 -1.99
YHR010W| 0.86 0.92
YHR141C| 0.39 0.39
YHR208W| 0.91 -2.03
YIL018W| 0.86 -0.96
YIL039W| -1.92 -1.1
YIL148W| -0.79 -0.79
YJL080C| 0.44 -1.98
YJL136C| -1.96 -1.96
YJL148W| 0.62 -2.01
YJL188C| 0.43 1
YJL189W| -1.81 0.29
YJR063W| 0.26 -2.06
YJR145C| -0.86 0.88
YKL006W| -2.13 0.49
YKR043C| -0.82 0.21
YKR057W| 0.94 -1.13
YKR059W| -1.92 1.09
YLL045c| 0.51 0.82
YLL047W| 0.61 0.61
YLR029c| 0.65 -1.04
YLR044c| 0.09 -2.09
YLR060w| 0.77 -0.67
YLR062C| -1.08 0.61
YLR076C| 0.26 0.26
YLR198C| -2.03 -2.03
YLR249W| -0.78 -0.78
YLR325C| 0.75 -2.04
YLR340W| 0.13 -1.07
YLR344W| -0.95 0.83
YLR367W| 0.75 0.43
YLR388W| 0.22 -1.85
YML063W| 0.66 0.46
YMR121C| 0.38 0.38
YMR131C| 1 0.77
YNL119W| 0.69 0.34
YNL162W| -2.09 0.66
YNL302C| 0.33 0.61
YNR050C| 1.16 0.92
YOL121C| 0.53 0.53
YOL127W| 0.5 0.91
YOL040C| 0.84 0.9
YOR224C| 0.21 0.83
YOR254C| 0.45 -1.15
YOR310C| 0.85 1
YOR312C| -1.98 0.91
YPL079W| -1.93 0.1
YPL131W| -1.9 0.5
YPL142C| -1.12 0.36
YPL220W| 0.25 -0.93
YPL244C| 1.16 0.05
YPR102C| 0.5 -2.02
YPR137W| 0.09 0.05
YBR032W| 0.62 0.38
YBR181C| 0.57 0.63
YBR187W| -1.8 -1.8
YDR012W| -0.84 0.59
YGL102C| -2.1 0.48
YGR027C| 0.57 0.57
YJL157C| -1.78 0.77
YJL190C| 0.65 0.65
YLR058c| 0.26 0.06
YLR264W| 0.59 0.38
YLR300W| 0.54 0.44
YLR342W| 0.84 0.26
YLR359W| -1.87 0.72
YLR372W| 0.73 0.46
YMR300C| 0.56 0.56
YMR305C| 0.44 0.94
YNL069C| -0.56 -0.56
YOR133W| 0.56 0.43
YOR167C| 0.26 -1.13
YOR182C| 0.8 0.8
YOR326W| -1.67 0.79
YPL080C| 0.32 -0.74
YPL081W| -1.98 -1.06
YPL090C| 1.03 0.63
YOR298W| -1.62 0.29
YDR019C| -0.5 0.88
YKL096W| -0.15 -0.15
YKL108W| 1.06 -1.13
YPR113W| 0.42 -0.39
